units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,samples,sites
NISP,anachronic,pollen/spore,313,NA,Unidentified palynomorphs,pollen/spore,Unknown,UNID,15,1
NISP,NA,colony,202,NA,Algae,colony,Pediastrum,ALGA,52,2
NISP,NA,pollen,1,NA,Vascular plants,pollen,Abies,TRSH,355,24
NISP,NA,pollen,3,NA,Vascular plants,pollen,Acer saccharum-type,TRSH,20,1
NISP,NA,pollen,4,NA,Vascular plants,pollen,Acer negundo,TRSH,75,2
NISP,NA,pollen,5,NA,Vascular plants,pollen,Acer pensylvanicum,TRSH,7,1
NISP,NA,pollen,6,NA,Vascular plants,pollen,Acer rubrum,TRSH,214,14
NISP,NA,pollen,7,NA,Vascular plants,pollen,Acer saccharinum-type,TRSH,41,2
NISP,NA,pollen,9,NA,Vascular plants,pollen,Acer undiff.,TRSH,180,6
NISP,NA,pollen,16,NA,Vascular plants,pollen,Ambrosia-type,UPHE,567,12
NISP,NA,pollen,20,NA,Vascular plants,pollen,Spermatophyta undiff. (aquatics),AQVP,24,1
NISP,NA,pollen,21,NA,Vascular plants,pollen,Aquifoliaceae,TRSH,2,1
NISP,NA,pollen,23,NA,Vascular plants,pollen,Arceuthobium,TRSH,40,2
NISP,NA,pollen,25,NA,Vascular plants,pollen,Artemisia,UPHE,939,27
NISP,NA,pollen,29,NA,Vascular plants,pollen,Betula,TRSH,1415,27
NISP,NA,pollen,34,NA,Vascular plants,pollen,Brasenia schreberi,AQVP,14,2
NISP,NA,pollen,40,NA,Vascular plants,pollen,Caltha,AQVP,1,1
NISP,NA,pollen,43,NA,Vascular plants,pollen,Caprifoliaceae undiff.,TRSH,1,1
NISP,NA,pollen,44,NA,Vascular plants,pollen,Carya,TRSH,1229,27
NISP,NA,pollen,45,NA,Vascular plants,pollen,Caryophyllaceae,UPHE,22,7
NISP,NA,pollen,47,NA,Vascular plants,pollen,Castanea,TRSH,68,6
NISP,NA,pollen,49,NA,Vascular plants,pollen,Celtis,TRSH,281,14
NISP,NA,pollen,50,NA,Vascular plants,pollen,Cephalanthus,TRSH,60,3
NISP,NA,pollen,54,NA,Vascular plants,pollen,Amaranthaceae undiff.,UPHE,185,5
NISP,NA,pollen,61,NA,Vascular plants,pollen,Asteraceae undiff.,UPHE,684,19
NISP,NA,pollen,67,NA,Vascular plants,pollen,Corylus,TRSH,681,25
NISP,NA,pollen,72,NA,Vascular plants,pollen,Cupressaceae,TRSH,526,20
NISP,NA,pollen,74,NA,Vascular plants,pollen,Cyperaceae,UPHE,804,23
NISP,NA,pollen,81,NA,Vascular plants,pollen,Drosera,AQVP,11,1
NISP,NA,pollen,84,NA,Vascular plants,pollen,Elaeagnus,TRSH,4,1
NISP,NA,pollen,85,NA,Vascular plants,pollen,Elaeagnaceae,TRSH,5,1
NISP,NA,pollen,88,NA,Vascular plants,pollen,Ephedra viridis-type,TRSH,3,1
NISP,NA,pollen,92,NA,Vascular plants,pollen,Ericaceae,TRSH,289,9
NISP,NA,pollen,107,NA,Vascular plants,pollen,Fagus,TRSH,1063,24
NISP,NA,pollen,112,NA,Vascular plants,pollen,Fraxinus nigra-type,TRSH,121,6
NISP,NA,pollen,113,NA,Vascular plants,pollen,Fraxinus pennsylvanica-type,TRSH,20,2
NISP,NA,pollen,114,NA,Vascular plants,pollen,Fraxinus undiff.,TRSH,143,7
NISP,NA,pollen,116,NA,Vascular plants,pollen,Galium,UPHE,72,6
NISP,NA,pollen,125,NA,Vascular plants,pollen,Poaceae undiff.,UPHE,198,6
NISP,NA,pollen,127,NA,Vascular plants,pollen,Angiospermae undiff. (herbs),UPHE,148,8
NISP,NA,pollen,129,NA,Vascular plants,pollen,Hippuris vulgaris,AQVP,3,3
NISP,NA,pollen,135,NA,Vascular plants,pollen,Ilex,TRSH,24,4
NISP,NA,pollen,144,NA,Vascular plants,pollen,Juglans cinerea,TRSH,314,11
NISP,NA,pollen,145,NA,Vascular plants,pollen,Juglans nigra,TRSH,270,11
NISP,NA,pollen,146,NA,Vascular plants,pollen,Juglans undiff.,TRSH,117,5
NISP,NA,pollen,153,NA,Vascular plants,pollen,Larix,TRSH,640,25
NISP,NA,pollen,157,NA,Vascular plants,pollen,Fabaceae undiff.,UPHE,1,1
NISP,NA,pollen,160,NA,Vascular plants,pollen,Cichorioideae,UPHE,5,3
NISP,NA,pollen,162,NA,Vascular plants,pollen,Liquidambar,TRSH,48,6
NISP,NA,pollen,163,NA,Vascular plants,pollen,Liriodendron,TRSH,3,2
NISP,NA,pollen,182,NA,Vascular plants,pollen,Menyanthes trifoliata,AQVP,10,2
NISP,NA,pollen,185,NA,Vascular plants,pollen,Moraceae,TRSH,1,1
NISP,NA,pollen,186,NA,Vascular plants,pollen,Morus,TRSH,72,5
NISP,NA,pollen,188,NA,Vascular plants,pollen,Myriophyllum,AQVP,44,5
NISP,NA,pollen,189,NA,Vascular plants,pollen,Nemopanthus,TRSH,26,2
NISP,NA,pollen,190,NA,Vascular plants,pollen,Nuphar,AQVP,129,11
NISP,NA,pollen,192,NA,Vascular plants,pollen,Nymphaea,AQVP,76,10
NISP,NA,pollen,193,NA,Vascular plants,pollen,Nyssa,TRSH,93,7
NISP,NA,pollen,197,NA,Vascular plants,pollen,Ostrya/Carpinus,TRSH,1191,24
NISP,NA,pollen,210,NA,Vascular plants,pollen,Picea,TRSH,1038,26
NISP,NA,pollen,212,NA,Vascular plants,pollen,Pinus subg. Pinus,TRSH,612,12
NISP,NA,pollen,213,NA,Vascular plants,pollen,Pinus subg. Strobus,TRSH,598,12
NISP,NA,pollen,216,NA,Vascular plants,pollen,Pinus undiff.,TRSH,792,15
NISP,NA,pollen,218,NA,Vascular plants,pollen,Plantago undiff.,UPHE,2,1
NISP,NA,pollen,222,NA,Vascular plants,pollen,Platanus,TRSH,316,16
NISP,NA,pollen,225,NA,Vascular plants,pollen,Polygonaceae undiff.,UPHE,57,2
NISP,NA,pollen,230,NA,Vascular plants,pollen,Persicaria amphibia,UPHE,3,1
NISP,NA,pollen,237,NA,Vascular plants,pollen,Populus undiff.,TRSH,64,4
NISP,NA,pollen,251,NA,Vascular plants,pollen,Quercus,TRSH,1531,27
NISP,NA,pollen,252,NA,Vascular plants,pollen,Ranunculaceae undiff.,UPHE,47,3
NISP,NA,pollen,260,NA,Vascular plants,pollen,Rhus,TRSH,4,1
NISP,NA,pollen,263,NA,Vascular plants,pollen,Robinia,TRSH,1,1
NISP,NA,pollen,267,NA,Vascular plants,pollen,Rubus,TRSH,1,1
NISP,NA,pollen,268,NA,Vascular plants,pollen,Rumex,UPHE,191,8
NISP,NA,pollen,270,NA,Vascular plants,pollen,Sagittaria,AQVP,27,7
NISP,NA,pollen,271,NA,Vascular plants,pollen,Salix,TRSH,876,27
NISP,NA,pollen,274,NA,Vascular plants,pollen,Salsola,UPHE,10,6
NISP,NA,pollen,275,NA,Vascular plants,pollen,Sambucus,TRSH,56,2
NISP,NA,pollen,277,NA,Vascular plants,pollen,Sanguisorba,UPHE,2,2
NISP,NA,pollen,279,NA,Vascular plants,pollen,Sarcobatus vermiculatus,TRSH,26,9
NISP,NA,pollen,280,NA,Vascular plants,pollen,Sarracenia,AQVP,1,1
NISP,NA,pollen,282,NA,Vascular plants,pollen,Saxifragaceae,UPHE,16,4
NISP,NA,pollen,289,NA,Vascular plants,pollen,Shepherdia argentea,TRSH,1,1
NISP,NA,pollen,290,NA,Vascular plants,pollen,Shepherdia canadensis,TRSH,3,2
NISP,NA,pollen,293,NA,Vascular plants,pollen,Sparganium-type,AQVP,14,3
NISP,NA,pollen,298,NA,Vascular plants,pollen,Taxodium,TRSH,1,1
NISP,NA,pollen,300,NA,Vascular plants,pollen,Thalictrum,UPHE,111,14
NISP,NA,pollen,302,NA,Vascular plants,pollen,Tilia,TRSH,925,25
NISP,NA,pollen,306,NA,Vascular plants,pollen,Tsuga,TRSH,886,27
NISP,NA,pollen,307,NA,Vascular plants,pollen,Asteroideae undiff.,UPHE,82,4
NISP,NA,pollen,308,NA,Vascular plants,pollen,Typha/Sparganium,AQVP,102,6
NISP,NA,pollen,309,NA,Vascular plants,pollen,Typha latifolia,AQVP,124,13
NISP,NA,pollen,310,NA,Vascular plants,pollen,Ulmus,TRSH,1482,27
