ID2,ID1,Flag,SITENAME,LONDD,LATDD,tjan,tfeb,tmar,tapr,tmay,tjun,tjul,taug,tsep,toct,tnov,tdec,pjan,pfeb,pmar,papr,pmay,pjun,pjul,paug,psep,poct,pnov,pdec,sjan,sfeb,smar,sapr,smay,sjun,sjul,saug,ssep,soct,snov,sdec,tave,tmax,tmin,gdd0,gdd5,chill,mtco,mtwa,mipt,aaetpt,apetpt,miptev,aaetptev,apetptev,miptdc,aaetptdc,apetptdc,totsnopt,annp,pjanpann,pjulpann,tmam,tjja,tson,tdjf,pmam,pjja,pson,pdjf,smam,sjja,sson,sdjf
1,1,,Diana 500,-69.992,60.979,-23.1,-23.6,-20.5,-13.1,-4,1.5,5.8,5.6,2.2,-3.1,-8.7,-17.9,21,19,19,22,25,43,63,59,43,40,33,23,21.7,33.8,46.1,45.7,27.8,31.5,37,36.5,21.4,16.1,15.5,14.9,-8.241666666666667,25.8,-45.4,427.2,25.6,323,-23.6,5.8,0.8697,216.5174,248.9669,0.8682,191.841,220.9562,0.8011,64.6665,80.7186,243.6094,410,0.0512,0.1537,-12.533333333333333,4.3,-3.2,-16.566666666666666,22,55,38.666666666666664,25.666666666666668,39.86666666666667,35,17.666666666666668,17.366666666666664
2,2,,Alderdale Bog,-79.2,46.05,-12.1,-10.3,-4.3,4.2,11.4,15.7,18.9,17.5,12.7,6.6,0.1,-8.6,62,51,63,67,77,94,95,101,114,93,89,73,32.2,40.6,40.6,47.2,51.4,53.2,58.9,53.2,40.6,35.5,23.6,25.5,4.316666666666667,37.2,-43.2,2632.6,1588.3,177,-12.1,18.9,0.77,500.8154,650.4433,0.7827,480.7946,614.275,0.8069,441.9011,547.6205,325.9046,979,0.0633,0.097,3.766666666666667,17.366666666666664,6.466666666666666,-6.866666666666667,69,96.66666666666667,98.66666666666667,74.66666666666667,46.4,55.1,33.23333333333333,27.1
3,3,,Alexis Lake,-57.033,52.517,-13.7,-13.2,-8.6,-3,2.1,6.6,10.9,10.9,7.3,2.2,-2.7,-9.7,105,85,106,81,67,92,92,99,90,89,95,105,34.8,37.7,34.4,32.4,34.9,34.2,36.6,37.7,32.4,32.1,27.9,29.5,-0.9083333333333332,31.9,-37.1,1188.2,446.8,249,-13.7,10.9,0.7262,293.833,404.6414,0.7183,266.1653,370.5268,0.6683,167.3022,250.334,633.7823,1106,0.0949,0.0832,-3.1666666666666665,9.466666666666667,2.2666666666666666,-8.7,84.66666666666667,94.33333333333333,91.33333333333333,101.66666666666667,33.9,36.16666666666667,30.8,30.73333333333333
4,4,,Anderson Pond,-85.5,36.033,1.6,3.8,9.3,14.2,18.5,22.7,24.5,24,20.6,14.4,9.2,4,124,116,147,115,129,107,124,92,101,81,118,136,44.7,47.6,52.2,59.4,61.4,63.4,61.7,62.6,60.7,61.3,47.9,42.5,13.9,40.4,-25.5,5096.2,3410.9,71,1.6,24.5,0.9535,970.9604,1018.2678,0.9535,970.9604,1018.2678,0.9565,909.6431,951.003,60.3136,1390,0.0892,0.0892,14,23.733333333333334,14.733333333333334,4.933333333333333,130.33333333333334,107.66666666666667,100,126,57.666666666666664,62.56666666666666,56.63333333333333,45.03333333333334
5,5,,Lac des Atocas,-73.311,45.543,-10.7,-9.1,-3,5.3,12.4,17.4,20.2,18.7,13.9,7.6,1,-7.4,76,65,74,78,82,93,95,104,94,84,99,96,31.9,38.5,39.4,43.3,48.6,50.6,53.8,49.9,43.8,38.3,25.3,25.2,5.525,37,-38.6,2911,1824.9,168,-10.7,20.2,0.898,598.5376,666.5387,0.8991,568.136,631.9046,0.8912,506.1277,567.9335,373.1009,1040,0.0731,0.0913,4.9,18.766666666666666,7.5,-5.7,78,97.33333333333333,92.33333333333333,90.33333333333333,43.76666666666666,51.43333333333334,35.8,27.46666666666667
6,6,,Lac à l'Ange,-70.685,47.482,-15,-14.1,-8.1,-0.6,6.6,12.7,15.4,13.8,9,3.1,-4.2,-12.1,101,86,105,103,122,124,128,125,118,108,116,122,32.1,39.2,35.9,39.8,41,43.1,46.4,45.3,37.2,31.9,24.9,25.1,0.5416666666666665,33.6,-45,1820.8,957.2,215,-15,15.4,0.7355,384.8432,523.2574,0.7453,359.2773,482.0426,0.7592,299.5302,394.5342,642.676,1358,0.0744,0.0943,-0.7,13.966666666666669,2.6333333333333333,-10.433333333333334,110,125.66666666666667,114,113,38.9,44.93333333333334,31.333333333333332,27.366666666666664
7,7,,Basin Pond,-70.05,44.47,-8.7,-7.3,-1.4,5.3,11.9,17,20.1,19,14.2,8.4,2.1,-5.6,84,80,95,99,94,96,86,94,86,98,120,110,42.7,46.8,46.1,46.6,48.3,50.4,54.1,54.9,52,46.9,36.7,37.5,6.25,37.1,-36.5,2958.8,1837.3,163,-8.7,20.1,0.8113,571.7685,704.7399,0.8089,541.6996,669.7004,0.8337,492.7247,591.0377,415.808,1142,0.0736,0.0753,5.266666666666667,18.7,8.233333333333334,-4.066666666666666,96,92,101.33333333333333,104.66666666666667,47,53.13333333333333,45.2,38.96666666666667
8,8,,Basswood Road Lake/Splan Pond,-67.331,45.256,-9.1,-8.1,-2,4.2,10.5,16,19,18.1,13.3,7.8,1.8,-5.8,95,87,89,92,95,85,85,89,100,99,125,121,36.9,41.2,40.8,41.6,45.1,46.4,49.2,50.8,46.4,41.8,33,31.9,5.475,36.9,-34.8,2734.3,1642.1,170,-9.1,19,0.8171,532.2583,651.3822,0.8122,501.7763,617.7906,0.8245,443.7061,538.1326,458.4073,1162,0.0818,0.0731,4.233333333333333,17.7,7.633333333333334,-4.366666666666666,92,86.33333333333333,108,113.66666666666667,42.5,48.8,40.4,33.93333333333334
9,9,,Belmont Bog1,-77.917,42.25,-6.8,-6,-0.2,5.7,11.9,16.6,19.1,18.3,14.4,8.7,2.9,-3.4,55,55,68,78,83,111,92,84,90,77,81,73,36,39.8,46.9,52.1,56.4,61.7,64.5,60.2,54.6,46.8,30,27.1,6.766666666666668,36.2,-33,2959.2,1798.6,158,-6.8,19.1,0.8826,675.7174,765.5831,0.8778,645.7155,735.5812,0.8638,557.0277,644.8742,260.9384,947,0.0581,0.0971,5.8,18,8.666666666666666,-2.433333333333333,76.33333333333333,95.66666666666667,82.66666666666667,69.66666666666667,51.8,62.13333333333333,43.8,31.03333333333333
10,10,,Lac à la Busque,-70.596,46.279,-12.7,-11,-4.9,2.7,10.1,15.2,17.8,16.6,11.6,5.8,-1.1,-9.3,77,59,76,68,94,104,108,133,108,88,89,95,25.9,33.5,35.2,39.7,42.9,45.2,48.5,47,40.7,32.4,22.3,19.7,3.4,35.6,-38,2402.9,1407.8,187,-12.7,17.8,0.8209,484.8015,590.5692,0.8398,466.8719,555.9274,0.8664,419.3477,484.0035,407.5906,1099,0.0701,0.0983,2.6333333333333333,16.533333333333335,5.433333333333333,-7.7,79.33333333333333,115,95,87,39.26666666666667,46.9,31.8,22.633333333333336
